Orig,plotname
northern_mauxia_shrimp_catch,Northern mauxia shrimp
chinese_white_shrimp_catch,Chinese white shrimp
southern_rough_shrimp_catch,Souther rough shrimp
swimming_crab_catch,Swimming crab
giant_mud_crab_catch,Giant mud crab
eel_catch,Eel
slender_shad_catch,Slender shad
anchovy_catch,Anchovy
pacific_herring_catch,Pacific herring
grouper_catch,Grouper
seabream_catch,Seabream
round_scad_catch,Round scad
large_yellow_croaker_catch,Large yellow croaker
small_yellow_croaker_catch,Small yellow croaker
largehead_hairtail_catch,Largehead hairtail
japanese_spanish_mackerel_catch,Japanese spanish mackerel
butterfish_catch,Butterfish
chub_mackerel_catch,Chub mackerel
barracuda_catch,Barracuda
golden_threadfin_bream_catch,Golden threadfin bream
black_scraper_catch,Black scraper
cuttlefish_catch,Cuttlefish
jellyfish_catch,Jellyfish
other_crustaceans_catch,Other crustaceans
other_fish_catch,Other fish
laminaria_aqua,Laminaria (kelp)
laver_aqua,Laver (algae)
chinese_white_shrimp_aqua,Chinese white shrimp
ark_clam_aqua,Ark clam
mussels_aqua,Mussels
common_orient_clam_aqua,Common orient clam
atrina_aqua,Atrina
scallop_aqua,Scallop
razor_clam_aqua,Razor clam
other_algae_aqua,Other algae
other_crustacean_aqua,Other crustaceans
other_shellfish_aqua,Other shellfish
other_fish_aqua,Other fish
